Category,Item,Status,Priority,Notes,Hiring Impact
Setup,Next.js 16 project initialization,Done,High,TypeScript + Tailwind CSS + App Router,Shows modern stack knowledge
Setup,Theme system (light/dark mode),Done,High,CSS custom properties with data-theme attribute,Attention to UX details
Setup,Layout structure (Navbar/Footer),Done,High,Responsive navigation with mobile menu,Standard requirement
Setup,Metadata and SEO configuration,Done,High,OG images / favicons / meta tags,Professional presentation
Setup,Git repository initialization,To Do,Critical,Initialize and push to GitHub,Employers WILL check your GitHub
Setup,Vercel deployment,To Do,Critical,Connect GitHub repo to Vercel,Live demo is essential
Setup,Environment variables on Vercel,To Do,High,Add RESEND_API_KEY,Backend integration proof
Setup,Domain DNS configuration,To Do,High,Point aoneill.co.uk to Vercel,Professional custom domain
Setup,Domain verification in Resend,To Do,High,Required for sending emails,Full-stack capability
Setup,Custom email setup,To Do,Medium,Cloudflare Email Routing (free),Professional communication

Pages,Home page,Done,High,Hero / Timeline / Featured Projects / Lab Preview / CTA,First impression
Pages,Projects listing page,Done,High,Grid of project cards with filtering,Work showcase
Pages,Project detail pages ([slug]),Done,High,Dynamic routes for each project,Deep dive capability
Pages,Lab listing page,Done,High,Grid of experiment cards,Shows curiosity/learning
Pages,Experiment detail pages ([slug]),Done,High,Dynamic routes for each experiment,Technical creativity
Pages,Contact page,Done,High,2-column layout with terminal form,Conversion focused
Pages,About/CV page,To Do,Critical,Detailed background / skills / downloadable CV,Employers need this
Pages,Uses/Stack page,To Do,Medium,Tools and technologies you use daily,Shows depth of knowledge

Components,Hero section with gradient,Done,High,Animated background with availability indicator,Eye-catching intro
Components,Timeline component,Done,High,Vertical timeline with career/education entries,Career narrative
Components,Project cards,Done,Medium,Hover effects and tech tags,Visual appeal
Components,Elastic Lanyard (physics badge),Done,High,Canvas-based Verlet integration physics,Wow factor - memorable
Components,Terminal Contact Form,Done,High,CLI-style interactive form,Unique personality
Components,Skills visualization,To Do,High,Interactive skills chart or matrix,Quick skills assessment
Components,GitHub activity integration,To Do,High,Show recent commits/contributions,Proves active coding
Components,Testimonials/Recommendations,To Do,Medium,LinkedIn recommendations or client feedback,Social proof

Features,Lanyard fixed right side (desktop),Done,High,Full-height canvas without clipping,Interactive element
Features,Lanyard swing-in animation,Done,Medium,Initial velocity on page load,Polish and attention to detail
Features,Contact form API integration,Done,High,Resend API for email sending,Backend skills proof
Features,Theme toggle,Done,High,Persistent dark/light mode,UX awareness
Features,Responsive design,Done,High,Mobile-first approach,Industry standard
Features,CV/Resume download,To Do,Critical,PDF download button,Recruiters expect this
Features,Copy email to clipboard,To Do,Low,One-click email copy,Convenience feature

Content - Projects,KeepitWhat project,Done,High,Full case study with problem/solution/outcome,Shows process thinking
Content - Projects,Critical Minerals project,Done,High,Data visualization / API work,Enterprise-level work
Content - Projects,Tempus Prive project,Done,High,E-commerce / luxury brand,Commercial experience
Content - Projects,AI Ethics Game project,Done,High,AI/ML relevance for MSc,Academic/research angle
Content - Projects,MSc Dissertation project,To Do,Critical,Your main academic achievement,Shows research capability
Content - Projects,Open source contributions,To Do,High,Any PRs or contributions,Community involvement
